,player_id,team_id,fixture_id,minutes,position,rating,goals,passes,tackles,duels,dribbles
91,2273,49,710558,,G,,,,,,
92,2726,49,710558,,D,,,,,,
93,259,49,710558,,D,,,,,,
94,2284,49,710558,4.0,D,,,2.0,,,
95,2933,49,710558,,D,,,,,,
96,19545,49,710558,23.0,D,6.6,,11.0,1.0,2.0,
97,19194,49,710558,,F,,,,,,
98,978,49,710558,8.0,M,6.3,,8.0,,2.0,1.0
99,2298,49,710558,,F,,,,,,
100,18835,52,710558,90.0,G,6.2,,35.0,,,
101,18847,52,710558,90.0,D,6.3,,35.0,3.0,8.0,3.0
102,2991,52,710558,90.0,D,6.5,,54.0,1.0,5.0,
103,67971,52,710558,90.0,D,6.7,,76.0,1.0,5.0,
104,182201,52,710558,90.0,D,5.6,,30.0,,4.0,1.0
105,3428,52,710558,90.0,M,6.2,,29.0,3.0,23.0,6.0
106,18853,52,710558,76.0,M,6.5,,28.0,1.0,3.0,
107,18849,52,710558,90.0,M,7,,43.0,1.0,9.0,4.0
108,18843,52,710558,57.0,M,6.5,,13.0,1.0,9.0,2.0
109,3247,52,710558,90.0,F,6.7,,21.0,,15.0,1.0
110,25927,52,710558,57.0,F,6.9,,9.0,,8.0,2.0
111,2930,52,710558,,G,,,,,,
112,144710,52,710558,,D,,,,,,
113,18840,52,710558,,D,,,,,,
114,18862,52,710558,,D,,,,,,
115,2729,52,710558,33.0,D,6.6,,36.0,,4.0,1.0
116,284449,52,710558,14.0,M,6.3,,11.0,,1.0,
117,2928,52,710558,33.0,F,6.6,,3.0,,4.0,
118,298049,52,710558,,F,,,,,,
119,107087,52,710558,,F,,,,,,
120,2932,45,710559,90.0,G,6.9,,30.0,,,
121,18758,45,710559,90.0,D,7.5,,39.0,5.0,9.0,
122,19150,45,710559,90.0,D,6.9,,43.0,1.0,10.0,
123,2934,45,710559,90.0,D,6.3,,48.0,2.0,6.0,
124,2724,45,710559,90.0,D,6.9,,31.0,,10.0,2.0
125,326,45,710559,90.0,M,6.2,,31.0,3.0,15.0,
126,18805,45,710559,90.0,M,7.5,1.0,40.0,2.0,17.0,2.0
127,18854,45,710559,70.0,M,7.2,,14.0,3.0,12.0,1.0
